pays,annee,all,00-14,15-29,30-44,45-59,60+,M,M 00-14,M 15-29,M 30-44,M 45-59,M 60+,F,F 00-14,F 15-29,F 30-44,F 45-59,F 60+
Azerbaijan,1970,,,,,,,,,,,,,,,,,,
Azerbaijan,1971,,,,,,,,,,,,,,,,,,
Azerbaijan,1972,,,,,,,,,,,,,,,,,,
Azerbaijan,1973,,,,,,,,,,,,,,,,,,
Azerbaijan,1974,,,,,,,,,,,,,,,,,,
Azerbaijan,1975,,,,,,,,,,,,,,,,,,
Azerbaijan,1976,,,,,,,,,,,,,,,,,,
Azerbaijan,1977,,,,,,,,,,,,,,,,,,
Azerbaijan,1978,,,,,,,,,,,,,,,,,,
Azerbaijan,1979,,,,,,,,,,,,,,,,,,
Azerbaijan,1980,,,,,,,,,,,,,,,,,,
Azerbaijan,1981,23.38,5.210000000000001,18.18,37.18,35.48,33.05,35.620000000000005,6.7299999999999995,29.84,60.349999999999994,51.07000000000001,45.93,12.49,3.63,6.840000000000001,15.53,21.169999999999998,26.46
Azerbaijan,1982,20.63,4.85,14.98,30.61,31.21,34.9,33.41,6.63,23.9,51.760000000000005,50.79,55.61,9.649999999999999,3.01,6.279999999999999,10.74,13.46,24.14
Azerbaijan,1983,,,,,,,,,,,,,,,,,,
Azerbaijan,1984,,,,,,,,,,,,,,,,,,
Azerbaijan,1985,18.93,4.64,13.86,25.25,32.53,31.169999999999998,30.22,6.140000000000001,22.08,43.09,50.41,49.79,9.24,3.0700000000000003,5.89,8.45,15.950000000000001,22.08
Azerbaijan,1986,22.68,5.74,16.79,34.95,34.95,33.599999999999994,36.23,7.74,26.63,58.19,56.260000000000005,52.419999999999995,10.76,3.6500000000000004,7.3100000000000005,13.120000000000001,15.19,23.26
Azerbaijan,1987,20.56,5.46,17.029999999999998,31.51,26.6,33.23,32.42,6.640000000000001,27.429999999999996,51.589999999999996,40.769999999999996,53.67,10.36,4.22,7.05,12.63,13.57,22.31
Azerbaijan,1988,24.009999999999998,5.859999999999999,20.650000000000002,37.92,33.2,33.57,38.25,6.859999999999999,35.03,65.65,48.28,51.27,11.41,4.8100000000000005,7.15,11.85,19.34,23.32
Azerbaijan,1989,23.02,5.72,16.919999999999998,35.480000000000004,34.019999999999996,36.5,38.82,7.94,29.430000000000003,61.379999999999995,57.18,60.879999999999995,9.32,3.37,5.1899999999999995,11.229999999999999,12.78,22.9
Azerbaijan,1990,24.28,4.5,22.060000000000002,38.95,35.09,31.47,42.05,6.300000000000001,38.53,71.07,56.82000000000001,55.96,8.84,2.62,6.34,9.1,15.32,18.55
Azerbaijan,1991,21.85,3.3999999999999995,20.43,37.58,30.41,25.64,38.4,4.45,36.74,67.87,53.01,43.959999999999994,7.09,2.29,4.74,9.41,9.95,14.49
Azerbaijan,1992,67.9,6.6,133.16,83.89,55.730000000000004,55.21,127.12,9.73,253.47,155.55,95.26,115.42,13.32,3.3,11.25,17.52,19.950000000000003,23.13
Azerbaijan,1993,54.79,6.01,119.16000000000001,56.94,42.419999999999995,41.46,101.03,8.27,225.53,104.11,70.0,83.32,11.04,3.63,8.55,13.419999999999998,17.6,19.330000000000002
Azerbaijan,1994,63.46,2.9,176.07000000000002,57.22,24.91,26.450000000000003,120.89,4.37,335.04,111.78,43.410000000000004,54.18000000000001,6.93,1.3599999999999999,9.17,7.31,8.280000000000001,12.04
