pays,annee,total,male,female,F 00-14,M 00-14,F 15-29,M 15-29,F 30-44,M 30-44,F 45-59,M 45-59,F 60+,M 60+,00-14,15-29,30-44,45-59,60+
Australia,2005,20394800.0,10178569,10216231,1950915.0,2086717.0,2047412.0,2123410.0,2284732.0,2283690.0,2029830.0,2030748.0,1903342.0,1654004.0,4037632.0,4170822.0,4568422.0,4060578.0,3557346.0
Australia,2006,20697900.0,10334386,10363514,1959341.0,2092259.0,2098152.0,2188210.0,2287761.0,2282081.0,2064753.0,2062194.0,1953507.0,1709642.0,4051600.0,4286362.0,4569842.0,4126947.0,3663149.0
Australia,2007,20827600.0,10405323,10422277,1954590.0,2083594.0,2133921.0,2238933.0,2265022.0,2255271.0,2076607.0,2070992.0,1992137.0,1756533.0,4038184.0,4372854.0,4520293.0,4147599.0,3748670.0
Australia,2008,21249200.0,10622124,10627076,1981466.0,2108447.0,2197315.0,2318851.0,2272940.0,2259759.0,2113242.0,2103949.0,2062113.0,1831118.0,4089913.0,4516166.0,4532699.0,4217191.0,3893231.0
Austria,1970,7467086.0,3507355,3959731,897893.0,937875.0,761318.0,782687.0,686251.0,680847.0,709879.0,520096.0,904390.0,585850.0,1835768.0,1544005.0,1367098.0,1229975.0,1490240.0
Austria,1971,7500482.0,3526064,3974418,900052.0,940169.0,763907.0,785238.0,689058.0,691192.0,705527.0,519278.0,915874.0,590187.0,1840221.0,1549145.0,1380250.0,1224805.0,1506061.0
Austria,1972,7544201.0,3549599,3994602,898922.0,939121.0,768214.0,789777.0,698796.0,705092.0,699707.0,520804.0,928963.0,594805.0,1838043.0,1557991.0,1403888.0,1220511.0,1523768.0
Austria,1973,7586115.0,3572210,4013905,893386.0,933504.0,773720.0,795715.0,712852.0,720771.0,693282.0,524542.0,940665.0,597678.0,1826890.0,1569435.0,1433623.0,1217824.0,1538343.0
Austria,1974,7599038.0,3581050,4017988,881426.0,921175.0,778537.0,800974.0,725872.0,734317.0,687116.0,529779.0,945037.0,594805.0,1802601.0,1579511.0,1460189.0,1216895.0,1539842.0
Austria,1975,7578903.0,3574148,4004755,863508.0,902612.0,782700.0,805503.0,735504.0,744307.0,682785.0,536692.0,940258.0,585034.0,1766120.0,1588203.0,1479811.0,1219477.0,1525292.0
Austria,1976,7565525.0,3570260,3995265,842485.0,880818.0,789472.0,812629.0,744936.0,753454.0,683455.0,546336.0,934917.0,577023.0,1723303.0,1602101.0,1498390.0,1229791.0,1511940.0
Austria,1977,7568430.0,3573926,3994504,822933.0,860524.0,800434.0,823846.0,755617.0,763559.0,689836.0,560360.0,925684.0,565637.0,1683457.0,1624280.0,1519176.0,1250196.0,1491321.0
Austria,1978,7562305.0,3573309,3988996,801616.0,838413.0,812571.0,836251.0,764506.0,771750.0,697145.0,575282.0,913158.0,551613.0,1640029.0,1648822.0,1536256.0,1272427.0,1464771.0
